contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190418C00010000,2019-03-26 1:54PM EDT,10,179.45,186.65,187.5,0,-,0,240,642.19%,4/18/2019
AAPL190418C00012500,2019-03-26 10:43AM EDT,12.5,179.2,184.15,185,0,-,0,275,590.63%,4/18/2109
AAPL190418C00015000,2019-03-26 10:43AM EDT,15,176.7,181.65,182.5,0,-,0,200,550.00%,4/18/2019
AAPL190418C00017500,2019-03-26 10:43AM EDT,17.5,172.8,179.15,180,0,-,0,210,515.63%,4/18/2109
AAPL190418C00020000,2019-03-25 1:32PM EDT,20,168.25,176.65,177.5,0,-,0,195,485.94%,4/18/2019
AAPL190418C00022500,2019-03-25 1:32PM EDT,22.5,165.75,174.15,175,0,-,0,311,459.38%,4/18/2109
AAPL190418C00025000,2019-02-26 4:18PM EDT,25,163.4,171.65,172.5,0,-,0,291,437.50%,4/18/2019
AAPL190418C00030000,2019-03-19 12:46PM EDT,30,157.65,166.65,167.5,0,-,10,200,398.44%,4/18/2109
AAPL190418C00035000,2019-03-20 2:21PM EDT,35,153.4,161.6,162.45,0,-,0,120,328.13%,4/18/2019
AAPL190418C00040000,2019-03-12 12:42PM EDT,40,141,156.65,157.45,0,-,0,75,323.44%,4/18/2109
AAPL190418C00045000,2019-03-06 10:32AM EDT,45,129.25,151.65,152.5,0,-,5,15,312.50%,4/18/2019
AAPL190418C00050000,2019-03-29 1:46PM EDT,50,139.3,146.65,147.5,0,-,14,67,290.63%,4/18/2109
AAPL190418C00055000,2019-03-19 3:43PM EDT,55,134.15,141.65,142.5,0,-,4,44,271.09%,4/18/2019
AAPL190418C00060000,2019-02-26 4:55PM EDT,60,114.6,136.65,137.5,0,-,0,49,253.91%,4/18/2109
AAPL190418C00065000,2019-02-13 1:18PM EDT,65,144.55,131.65,132.5,0,-,0,0,237.50%,4/18/2019
AAPL190418C00070000,2019-01-31 11:00AM EDT,70,104.85,126.65,127.5,0,-,0,14,221.88%,4/18/2109
AAPL190418C00075000,2019-02-13 1:18PM EDT,75,83.1,121.65,122.5,0,-,0,0,207.81%,4/18/2019
AAPL190418C00080000,2019-03-04 11:35AM EDT,80,97.2,116.65,117.5,0,-,0,20,194.53%,4/18/2109
AAPL190418C00090000,2019-03-29 1:46PM EDT,90,99.35,106.65,107.5,0,-,2,8,170.70%,4/18/2019
AAPL190418C00095000,2019-04-03 11:07AM EDT,95,101.85,101.65,102.5,0,-,1,22,159.77%,4/18/2109
AAPL190418C00100000,2019-03-21 11:28AM EDT,100,94.69,96.7,97.55,0,-,0,75,158.79%,4/18/2019
AAPL190418C00105000,2019-03-20 2:48PM EDT,105,84.35,89.9,94.2,0,-,0,22,133.20%,4/18/2109
AAPL190418C00110000,2019-04-02 3:39PM EDT,110,82.6,84.9,89.2,0,-,2,192,124.22%,4/18/2019
AAPL190418C00115000,2019-03-27 12:25PM EDT,115,73.45,79.85,84.2,0,-,1,21,107.03%,4/18/2109
AAPL190418C00120000,2019-03-27 10:26AM EDT,120,69.6,74.9,79.15,0,-,7,139,99.22%,4/18/2019
AAPL190418C00125000,2019-04-05 11:38AM EDT,125,71.62,69.9,74.25,17.54,32.43%,1,68,103.52%,4/18/2109
AAPL190418C00130000,2019-04-05 12:53PM EDT,130,66.6,66.85,69.15,6.54,10.89%,1,323,144.48%,4/18/2019
AAPL190418C00135000,2019-04-01 10:04AM EDT,135,55.6,59.9,64.25,0,-,1,262,87.50%,4/18/2109
AAPL190418C00140000,2019-04-04 2:03PM EDT,140,55.61,56.85,57.8,0,-,2,667,98.93%,8/18/4780
AAPL190418C00145000,2019-04-05 11:05AM EDT,145,51.61,51.8,54.25,1,1.98%,1,"1,637",113.09%,8/18/4690
AAPL190418C00150000,2019-04-05 3:12PM EDT,150,46.85,46.8,48,0.87,1.89%,3,"6,889",84.67%,8/18/4600
AAPL190418C00155000,2019-04-05 12:08PM EDT,155,41.85,41.95,44.3,1.16,2.85%,13,"3,802",95.07%,8/18/4510
AAPL190418C00160000,2019-04-05 3:39PM EDT,160,37.16,36.95,38.85,1.29,3.60%,30,"28,830",80.57%,8/18/4420
AAPL190418C00165000,2019-04-05 3:30PM EDT,165,32.14,30,32.35,1.64,5.38%,29,"5,183",57.72%,8/18/4330
AAPL190418C00167500,2019-04-02 12:43PM EDT,167.5,25.62,27.45,31.8,0,-,1,19,87.55%,8/18/4240
AAPL190418C00170000,2019-04-05 3:35PM EDT,170,27.15,27.15,27.35,1.47,5.72%,158,"14,939",49.61%,8/18/4150
AAPL190418C00172500,2019-04-05 3:21PM EDT,172.5,24.61,22.5,25,1.35,5.80%,8,242,49.32%,8/18/4060
AAPL190418C00175000,2019-04-05 3:53PM EDT,175,22.2,21.85,22.4,1.53,7.40%,337,"15,076",42.82%,8/18/3970
AAPL190418C00177500,2019-04-03 11:04AM EDT,177.5,19.45,19.35,20.2,0.3,1.57%,1,331,44.53%,8/18/3880
AAPL190418C00180000,2019-04-05 3:56PM EDT,180,17.22,16.9,17.45,1.32,8.30%,340,"65,354",35.65%,8/18/3790
AAPL190418C00182500,2019-04-05 2:32PM EDT,182.5,14.7,14.75,15,1.02,7.46%,40,"1,083",32.30%,8/18/3700
AAPL190418C00185000,2019-04-05 3:54PM EDT,185,12.45,12.4,12.55,1.31,11.76%,886,"63,876",28.71%,8/18/3610
AAPL190418C00187500,2019-04-05 3:57PM EDT,187.5,10.09,10.05,10.25,0.99,10.88%,232,"2,037",26.76%,8/18/3520
AAPL190418C00190000,2019-04-05 3:59PM EDT,190,7.95,7.85,8,0.94,13.41%,"1,572","31,743",24.43%,8/18/3430
