contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190719C00095000,2019-03-11 12:52PM EDT,95,84.05,105.2,106.5,0,-,10,11,72.46%,7/19/2019
AAPL190719C00100000,2019-04-26 1:30PM EDT,100,100.6,101.3,101.65,-3.5,-3.36%,1,31,66.80%,7/19/2019
AAPL190719C00105000,2019-02-07 10:53AM EDT,105,67.7,91.95,96,0,-,0,3,0.00%,7/19/2019
AAPL190719C00110000,2019-04-12 1:19PM EDT,110,88,91.35,91.7,0,-,2,7,60.35%,7/19/2019
AAPL190719C00115000,2019-04-03 9:36AM EDT,115,80,86.35,86.7,0,-,1,21,56.35%,7/19/2019
AAPL190719C00120000,2019-04-29 10:37AM EDT,120,85.65,81.4,81.75,0,-,20,283,53.91%,7/19/2019
AAPL190719C00125000,2019-04-17 3:21PM EDT,125,78.12,76.35,76.7,0,-,6,54,53.03%,7/19/2019
AAPL190719C00130000,2019-04-30 10:52AM EDT,130,71.12,71.45,71.75,-4.88,-6.42%,4,694,50.15%,7/19/2019
AAPL190719C00135000,2019-04-24 3:07PM EDT,135,72.9,66.4,66.7,0,-,1,310,45.51%,7/19/2019
AAPL190719C00140000,2019-04-30 9:43AM EDT,140,60,61.45,61.8,-5.65,-8.61%,3,"1,174",43.53%,7/19/2019
AAPL190719C00145000,2019-04-26 3:48PM EDT,145,59.45,56.5,56.85,0,-,12,510,40.63%,7/19/2019
AAPL190719C00150000,2019-04-30 12:34PM EDT,150,51.15,51.6,51.9,-4.97,-8.86%,8,"2,061",37.70%,7/19/2019
AAPL190719C00155000,2019-04-30 11:45AM EDT,155,45.52,46.65,46.95,-5.23,-10.31%,3,"1,391",34.74%,7/19/2019
